rank,dropout_rate,out_channels1,out_channels2,out_channels3,num_filters1,num_filters2,loss last 20,nº ensayo,learning rate
1,0.0959,44,28,26,61,17,0.1627,2,0.0001
2,0.4086,54,39,47,43,36,0.3858,4,0.0004
3,0.2934,61,34,18,55,25,0.3982,9,0.0
4,0.355,29,42,44,24,44,0.7516,8,0.0002
5,0.4722,45,16,19,51,30,1.9415,0,0.0001
6,0.1456,39,32,18,17,53,2.123,6,0.0
7,0.4072,56,48,22,43,40,2.5175,3,0.0006
8,0.3963,44,20,45,27,50,3.063,7,0.0002
9,0.1862,52,22,34,45,45,4.3576,5,0.0
10,0.1694,26,47,51,50,52,10.4455,1,0.0
