source_number,x,y,probability_image_0,probability_image_1,probability_image_4,probability_image_5,probability_image_7,probability_image_9,probability_image_10,probability_image_11,probability_image_16,probability_image_18
0,842,3,,,,,,,,,,
1,738,3,,,,,,,,,,
2,848,10,0.046875,0.015625,0.015625,0.015625,0.015625,0.0,0.0,0.0,0.0,0.0
3,830,7,0.875,0.875,0.875,0.859375,0.859375,0.859375,0.84375,0.84375,0.8125,0.8125
4,961,17,0.859375,0.859375,0.828125,0.828125,0.828125,0.84375,0.84375,0.84375,0.84375,0.828125
5,801,25,0.703125,0.703125,0.65625,0.671875,0.640625,0.640625,0.625,0.609375,0.546875,0.5
6,640,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,908,27,0.890625,0.875,0.875,0.90625,0.921875,0.921875,0.921875,0.90625,0.875,0.890625
8,1068,29,0.546875,0.546875,0.5,0.515625,0.453125,0.46875,0.46875,0.46875,0.421875,0.40625
9,1058,44,0.65625,0.65625,0.609375,0.609375,0.625,0.640625,0.640625,0.640625,0.546875,0.5
10,992,35,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375
11,1130,53,0.234375,0.234375,0.203125,0.171875,0.234375,0.203125,0.171875,0.125,0.15625,0.03125
12,904,61,0.71875,0.71875,0.703125,0.703125,0.703125,0.703125,0.703125,0.703125,0.703125,0.703125
13,1121,58,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.96875,0.96875,0.984375,0.984375
14,753,65,0.921875,0.921875,0.921875,0.921875,0.9375,0.921875,0.921875,0.890625,0.890625,0.890625
15,416,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1249,405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1326,79,0.53125,0.515625,0.484375,0.5,0.484375,0.4375,0.375,0.34375,0.484375,0.484375
18,1158,79,0.875,0.875,0.90625,0.90625,0.890625,0.875,0.875,0.875,0.828125,0.8125
19,1191,81,0.875,0.859375,0.875,0.875,0.875,0.875,0.875,0.859375,0.890625,0.859375
20,1012,87,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875
21,1332,100,0.515625,0.53125,0.546875,0.546875,0.5,0.5,0.5,0.5,0.515625,0.5
22,511,106,0.640625,0.609375,0.578125,0.578125,0.578125,0.578125,0.578125,0.578125,0.484375,0.484375
23,913,110,0.9375,0.9375,0.921875,0.921875,0.921875,0.921875,0.921875,0.921875,0.90625,0.921875
24,1337,111,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
25,1627,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1485,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,816,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,961,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,470,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,731,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1422,127,0.359375,0.3125,0.390625,0.359375,0.328125,0.328125,0.296875,0.25,0.1875,0.203125
32,531,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1400,133,0.09375,0.09375,0.15625,0.140625,0.09375,0.0,0.0,0.0,0.0625,0.125
34,1049,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1271,129,0.0,0.0,0.03125,0.03125,0.015625,0.0,0.0,0.0,0.015625,0.015625
36,1230,137,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625
37,1206,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,656,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1162,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,565,134,0.78125,0.78125,0.75,0.734375,0.71875,0.765625,0.75,0.765625,0.71875,0.703125
41,431,138,0.1875,0.140625,0.0,0.0,0.125,0.125,0.078125,0.0,0.0,0.0
42,1064,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1653,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1177,138,0.3125,0.265625,0.171875,0.171875,0.1875,0.203125,0.21875,0.25,0.078125,0.1875
45,878,135,0.828125,0.796875,0.78125,0.78125,0.78125,0.796875,0.796875,0.796875,0.75,0.75
46,687,140,0.421875,0.390625,0.453125,0.515625,0.5,0.484375,0.453125,0.4375,0.34375,0.359375
47,761,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,970,142,0.4375,0.4375,0.359375,0.3125,0.140625,0.140625,0.234375,0.28125,0.28125,0.21875
49,977,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1171,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,819,143,0.015625,0.046875,0.046875,0.0,0.0,0.015625,0.03125,0.03125,0.0,0.0
52,1002,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1149,139,0.296875,0.3125,0.328125,0.328125,0.203125,0.171875,0.171875,0.15625,0.09375,0.109375
54,1589,144,0.0,0.0,0.0,0.0,0.046875,0.015625,0.0,0.0,0.0,0.0
55,1191,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1094,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1483,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1648,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1238,132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,1272,137,0.84375,0.84375,0.875,0.859375,0.828125,0.828125,0.828125,0.828125,0.8125,0.8125
61,538,142,0.65625,0.65625,0.609375,0.609375,0.640625,0.625,0.609375,0.609375,0.59375,0.59375
62,1020,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,446,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,353,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1289,141,0.859375,0.859375,0.828125,0.84375,0.828125,0.828125,0.859375,0.859375,0.828125,0.796875
66,1197,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1276,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1608,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1186,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1101,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1352,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,477,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1065,145,0.125,0.0625,0.0,0.0,0.140625,0.03125,0.0,0.0,0.0,0.0
74,1535,153,0.46875,0.453125,0.421875,0.4375,0.484375,0.421875,0.3125,0.265625,0.296875,0.265625
75,1262,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,938,156,0.046875,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,761,155,0.125,0.15625,0.171875,0.171875,0.109375,0.109375,0.0625,0.09375,0.125,0.109375
78,1119,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,704,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1247,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,702,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,713,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1343,158,0.828125,0.828125,0.8125,0.8125,0.765625,0.765625,0.765625,0.78125,0.765625,0.6875
84,767,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,507,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1156,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,482,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,757,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1240,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,956,168,0.140625,0.140625,0.125,0.0625,0.03125,0.140625,0.140625,0.125,0.03125,0.109375
91,1228,153,0.953125,0.953125,0.921875,0.9375,0.9375,0.921875,0.921875,0.921875,0.921875,0.9375
92,897,163,0.953125,0.953125,0.96875,0.96875,0.96875,0.953125,0.953125,0.953125,0.953125,0.953125
93,468,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,679,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,421,182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1610,165,0.859375,0.875,0.84375,0.828125,0.8125,0.828125,0.796875,0.78125,0.703125,0.65625
97,388,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,929,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1520,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1417,163,0.90625,0.90625,0.875,0.875,0.875,0.890625,0.90625,0.90625,0.90625,0.875
101,1053,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1645,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,736,171,0.71875,0.734375,0.703125,0.671875,0.65625,0.703125,0.671875,0.671875,0.6875,0.671875
104,1061,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,466,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,612,168,0.78125,0.78125,0.765625,0.765625,0.765625,0.75,0.75,0.734375,0.734375,0.734375
107,1599,178,0.5625,0.546875,0.5,0.46875,0.4375,0.46875,0.484375,0.5,0.4375,0.40625
108,496,186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,956,184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,511,186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,547,169,0.953125,0.953125,0.953125,0.953125,0.953125,0.9375,0.9375,0.9375,0.9375,0.953125
112,1370,172,0.9375,0.921875,0.921875,0.921875,0.9375,0.9375,0.9375,0.9375,0.90625,0.90625
113,612,174,0.65625,0.640625,0.640625,0.640625,0.65625,0.65625,0.65625,0.65625,0.65625,0.640625
114,1078,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,1433,176,0.9375,0.9375,0.921875,0.921875,0.9375,0.9375,0.9375,0.921875,0.921875,0.921875
116,399,191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,763,879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,569,176,0.921875,0.921875,0.921875,0.921875,0.90625,0.921875,0.90625,0.90625,0.921875,0.921875
119,676,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,500,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,866,172,0.828125,0.8125,0.765625,0.78125,0.78125,0.796875,0.796875,0.796875,0.796875,0.796875
122,1680,191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,1386,193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,405,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,1377,181,0.53125,0.53125,0.53125,0.53125,0.5,0.53125,0.53125,0.515625,0.484375,0.46875
126,431,199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,425,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,1190,188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,701,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,1056,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,1143,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,1466,193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,616,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,1294,174,0.015625,0.03125,0.125,0.09375,0.0,0.0,0.0,0.03125,0.03125,0.0
135,1613,191,0.125,0.15625,0.21875,0.1875,0.0625,0.03125,0.046875,0.078125,0.140625,0.15625
