source_number,x,y,probability_image_0,probability_image_1,probability_image_4,probability_image_5,probability_image_7,probability_image_9,probability_image_10,probability_image_11,probability_image_16,probability_image_18
0,830,7,0.875,0.875,0.875,0.859375,0.859375,0.859375,0.84375,0.84375,0.8125,0.8125
1,908,27,0.890625,0.875,0.875,0.90625,0.921875,0.921875,0.921875,0.90625,0.875,0.890625
2,992,35,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375
3,1121,58,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.96875,0.96875,0.984375,0.984375
4,904,61,0.71875,0.71875,0.703125,0.703125,0.703125,0.703125,0.703125,0.703125,0.703125,0.703125
5,753,65,0.921875,0.921875,0.921875,0.921875,0.9375,0.921875,0.921875,0.890625,0.890625,0.890625
6,1012,87,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875
7,1158,79,0.875,0.875,0.90625,0.90625,0.890625,0.875,0.875,0.875,0.828125,0.8125
8,1191,81,0.875,0.859375,0.875,0.875,0.875,0.875,0.875,0.859375,0.890625,0.859375
9,913,110,0.9375,0.9375,0.921875,0.921875,0.921875,0.921875,0.921875,0.921875,0.90625,0.921875
10,1336,111,0.84375,0.84375,0.84375,0.84375,0.84375,0.84375,0.84375,0.84375,0.84375,0.84375
11,1238,132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,878,135,0.828125,0.796875,0.78125,0.78125,0.78125,0.796875,0.796875,0.796875,0.75,0.75
13,1272,137,0.84375,0.84375,0.875,0.859375,0.828125,0.828125,0.828125,0.828125,0.8125,0.8125
14,1228,153,0.953125,0.953125,0.921875,0.9375,0.9375,0.921875,0.921875,0.921875,0.921875,0.9375
15,897,163,0.953125,0.953125,0.96875,0.96875,0.96875,0.953125,0.953125,0.953125,0.953125,0.953125
16,1417,164,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125
17,547,169,0.953125,0.953125,0.953125,0.953125,0.953125,0.9375,0.9375,0.9375,0.9375,0.953125
18,612,168,0.78125,0.78125,0.765625,0.765625,0.765625,0.75,0.75,0.734375,0.734375,0.734375
19,1370,172,0.9375,0.921875,0.921875,0.921875,0.9375,0.9375,0.9375,0.9375,0.90625,0.90625
20,1433,176,0.9375,0.9375,0.921875,0.921875,0.9375,0.9375,0.9375,0.921875,0.921875,0.921875
21,569,176,0.921875,0.921875,0.921875,0.921875,0.90625,0.921875,0.90625,0.90625,0.921875,0.921875
22,629,191,0.890625,0.890625,0.890625,0.890625,0.875,0.875,0.875,0.875,0.875,0.859375
23,1253,195,0.890625,0.890625,0.890625,0.890625,0.890625,0.890625,0.890625,0.890625,0.890625,0.890625
24,975,201,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875
25,1146,207,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875
26,1349,207,0.921875,0.890625,0.890625,0.890625,0.921875,0.9375,0.9375,0.9375,0.921875,0.921875
27,675,208,0.9375,0.953125,0.9375,0.9375,0.9375,0.9375,0.953125,0.953125,0.9375,0.9375
28,645,209,0.921875,0.921875,0.921875,0.921875,0.921875,0.921875,0.921875,0.921875,0.921875,0.921875
29,1551,213,0.859375,0.828125,0.796875,0.796875,0.859375,0.875,0.875,0.84375,0.8125,0.78125
30,1209,225,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375
31,1300,227,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875
32,917,232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,1061,230,0.9375,0.9375,0.9375,0.9375,0.953125,0.953125,0.953125,0.953125,0.9375,0.953125
34,403,227,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.890625,0.90625
35,1503,229,0.84375,0.84375,0.859375,0.859375,0.859375,0.875,0.875,0.859375,0.84375,0.859375
36,339,233,0.96875,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125
37,827,231,0.796875,0.796875,0.828125,0.828125,0.859375,0.859375,0.84375,0.8125,0.828125,0.796875
38,970,239,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375
39,1488,236,0.84375,0.84375,0.859375,0.875,0.859375,0.84375,0.84375,0.84375,0.828125,0.859375
40,913,240,0.46875,0.46875,0.46875,0.46875,0.46875,0.46875,0.484375,0.484375,0.46875,0.484375
41,1081,238,0.90625,0.90625,0.921875,0.90625,0.90625,0.921875,0.921875,0.90625,0.875,0.875
42,1229,250,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375
43,808,248,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375
44,1488,255,0.9375,0.9375,0.9375,0.9375,0.953125,0.921875,0.90625,0.90625,0.90625,0.90625
45,952,257,0.828125,0.828125,0.828125,0.828125,0.828125,0.84375,0.875,0.875,0.84375,0.828125
46,838,255,0.8125,0.8125,0.8125,0.8125,0.828125,0.8125,0.8125,0.8125,0.8125,0.828125
47,447,260,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,1.0,1.0
48,1270,258,0.875,0.859375,0.859375,0.859375,0.859375,0.84375,0.84375,0.84375,0.859375,0.859375
49,530,260,0.9375,0.9375,0.9375,0.953125,0.953125,0.953125,0.9375,0.9375,0.9375,0.9375
50,300,259,0.890625,0.90625,0.890625,0.890625,0.890625,0.875,0.875,0.875,0.890625,0.875
51,1194,261,0.890625,0.90625,0.90625,0.890625,0.84375,0.890625,0.890625,0.90625,0.875,0.875
52,1451,268,0.71875,0.71875,0.71875,0.71875,0.71875,0.6875,0.6875,0.6875,0.71875,0.703125
53,1458,273,0.84375,0.828125,0.84375,0.84375,0.828125,0.828125,0.828125,0.859375,0.828125,0.828125
54,1330,276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,1003,276,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375
56,887,276,0.921875,0.9375,0.921875,0.921875,0.921875,0.90625,0.90625,0.90625,0.9375,0.9375
57,558,283,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.953125,0.953125,0.96875,0.96875
58,531,280,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125
59,1348,281,0.90625,0.90625,0.90625,0.90625,0.890625,0.890625,0.890625,0.890625,0.875,0.90625
60,1381,285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,1163,280,0.84375,0.84375,0.875,0.875,0.859375,0.859375,0.859375,0.84375,0.828125,0.84375
62,1610,290,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125
63,732,284,0.8125,0.84375,0.859375,0.84375,0.84375,0.78125,0.78125,0.78125,0.84375,0.8125
64,1577,286,0.921875,0.921875,0.921875,0.90625,0.90625,0.90625,0.921875,0.921875,0.9375,0.921875
65,1237,291,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125,0.953125
66,458,299,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
67,1410,303,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.859375,0.859375
68,880,305,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.984375,0.96875,0.96875
69,1331,304,0.953125,0.953125,0.953125,0.96875,0.96875,0.96875,0.96875,0.953125,0.953125,0.953125
